Key,Value
Metadata_URL,https://sportsorthopedics.in/publication/rotator-cuff-injury/
Metadata_Type,publication
Metadata_Title,Rotator Cuff Injury | Sports Orthopedics
Metadata_Scraped,2025-04-05T17:49:14.052Z
PageTitle,"<iframe data-no-script src=""https://www.youtube.com/embed/yY1xKJeHUVs?pip=1&#038;playsinline=1"" allow=""accelerometer;encrypted-media;gyroscope;picture-in-picture;fullscreen"" class=""tf_abs tf_w tf_h""></iframe>"
Heading,Rotator Cuff Injury
