Slug,PageType,Title,OriginalURL,FeaturedImageURL,BreadcrumbJSON,ContentBlocksJSON,ScrapedAt
acl,category,ACL | Sports Orthopedics,https://sportsorthopedics.in/category/acl/,/uploads/content/06a91bd7-New-Project-1-1024x576-500x350.jpg.jpg,"[{""name"":""Home"",""url"":""https://sportsorthopedics.in/""},{""name"":""Categories"",""url"":""https://sportsorthopedics.in/categories/""},{""name"":""ACL | Sports Orthopedics"",""url"":null}]",[],2025-04-06T06:27:48.670Z
knee-treatment,category,Knee treatment | Sports Orthopedics,https://sportsorthopedics.in/category/knee-treatment/,/uploads/content/98b3874b-New-Project-2-1024x576-500x350.jpg.jpg,"[{""name"":""Home"",""url"":""https://sportsorthopedics.in/""},{""name"":""Categories"",""url"":""https://sportsorthopedics.in/categories/""},{""name"":""Knee treatment | Sports Orthopedics"",""url"":null}]",[],2025-04-06T06:27:50.815Z
meniscus-tears,category,Meniscus Tears | Sports Orthopedics,https://sportsorthopedics.in/category/meniscus-tears/,/uploads/content/5366a8fa-New-Project-1-1-1024x576-500x350.jpg.jpg,"[{""name"":""Home"",""url"":""https://sportsorthopedics.in/""},{""name"":""Categories"",""url"":""https://sportsorthopedics.in/categories/""},{""name"":""Meniscus Tears | Sports Orthopedics"",""url"":null}]",[],2025-04-06T06:27:49.740Z
treatments,category,Treatments | Sports Orthopedics,https://sportsorthopedics.in/category/treatments/,/uploads/content/854b105c-Types-of-Hip-Replacement-Implants-1024x5.jpg,"[{""name"":""Home"",""url"":""https://sportsorthopedics.in/""},{""name"":""Categories"",""url"":""https://sportsorthopedics.in/categories/""},{""name"":""Treatments | Sports Orthopedics"",""url"":null}]",[],2025-04-06T06:27:47.261Z
uncategorized,category,Uncategorized | Sports Orthopedics,https://sportsorthopedics.in/category/uncategorized/,/uploads/content/70a7a869-e92dc3_c25d2eec26b14e95b375a2334a5e1e69m.webp,"[{""name"":""Home"",""url"":""https://sportsorthopedics.in/""},{""name"":""Categories"",""url"":""https://sportsorthopedics.in/categories/""},{""name"":""Uncategorized | Sports Orthopedics"",""url"":null}]",[],2025-04-06T06:27:46.169Z
